model,fold,train_seconds,predict_seconds,predict_ms_per_1000,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,avg_precision,preprocess_seconds
Logistic Regression,1,0.0565182080026716,0.01904187501349952,7.616750005399808,0.67,0.599742880880078,0.15282791817087846,0.5120967741935484,0.23540315106580167,0.6623216638973243,0.2085491522210625,
Logistic Regression,2,0.08929895800247323,0.01639749998867046,6.5589999954681835,0.6412,0.6286096946083768,0.15949632738719832,0.6129032258064516,0.2531223980016653,0.6756288317194751,0.19856561238140102,
Decision Tree,1,0.0657381670025643,0.016100624998216517,6.440249999286607,0.6132,0.5843622872858534,0.13723511604439959,0.5483870967741935,0.2195318805488297,0.59980823497393,0.14031959929609583,
Decision Tree,2,0.07831283299310599,0.03593558298598509,14.374233194394037,0.5896,0.5282043201741821,0.11177644710578842,0.45161290322580644,0.1792,0.5612869205867186,0.12832392219909491,
Random Forest,1,0.2642439579940401,0.04401470899756532,17.60588359902613,0.7684,0.5718322064974503,0.1643002028397566,0.32661290322580644,0.21862348178137653,0.64598134991119,0.16805451973419003,
Random Forest,2,0.22304541699122638,0.042349458002718166,16.939783201087266,0.784,0.5948440096258523,0.18936170212765957,0.3588709677419355,0.2479108635097493,0.6578596802841917,0.1707806514094282,
XGBoost,1,0.3074703330057673,0.016781583006377332,6.712633202550933,0.8384,0.5586575373861227,0.2,0.20967741935483872,0.2047244094488189,0.613143155904429,0.1598749398319668,
XGBoost,2,0.3029737920005573,0.016631542006507516,6.652616802603006,0.8428,0.5395705609350828,0.17777777777777778,0.16129032258064516,0.16913319238900634,0.6341844883401134,0.14931459971262154,
SMOTE + Logistic Regression,1,0.35279383399756625,0.013469375000568107,13.469375000568107,0.679,0.5925907241112569,0.1509433962264151,0.48484848484848486,0.2302158273381295,0.6637406248948978,0.23247143091525752,
SMOTE + Logistic Regression,2,0.06820812499790918,0.01671754200651776,16.71754200651776,0.707,0.6306068453682216,0.17666666666666667,0.5353535353535354,0.2656641604010025,0.7046715770356169,0.22843644480053416,
SMOTE + Decision Tree,1,0.04421874998661224,0.015347666994784959,15.347666994784959,0.766,0.5734369219385868,0.16417910447761194,0.3333333333333333,0.22,0.5924730097871053,0.148241408819624,
SMOTE + Decision Tree,2,0.05687000000034459,0.010646416994859464,10.646416994859464,0.794,0.5395239856949069,0.1456953642384106,0.2222222222222222,0.176,0.5636498167019809,0.13238292581504632,
SMOTE + Random Forest,1,0.2794616250030231,0.024822332998155616,24.822332998155616,0.828,0.5943564389735311,0.22556390977443608,0.30303030303030304,0.25862068965517243,0.6629446518458728,0.19225135451093292,
SMOTE + Random Forest,2,0.21799945800739806,0.037124082999071106,37.124082999071106,0.818,0.5348602562809001,0.15126050420168066,0.18181818181818182,0.1651376146788991,0.6647047612641397,0.16269482287815476,
SMOTE + XGBoost,1,0.36459249998733867,0.011938167008338496,11.938167008338496,0.84,0.5470689133286247,0.18556701030927836,0.18181818181818182,0.1836734693877551,0.6425968900996649,0.17789139662176262,
SMOTE + XGBoost,2,0.3609487500070827,0.011401334006222896,11.401334006222896,0.858,0.5390755501743293,0.19718309859154928,0.1414141414141414,0.16470588235294117,0.6360609423872464,0.1733109099732495,
ANN,1,0.7628695000021253,0.06040670799848158,24.16268319939263,0.528,0.5029830115166447,0.10034305317324185,0.4717741935483871,0.16548797736916548,0.49980662350312266,0.10919247456634448,0.04132770800788421
ANN,2,0.746309875001316,0.06024187500588596,24.096750002354383,0.5484,0.5268650088809947,0.10983170947741364,0.5,0.18010167029774873,0.5458624591760729,0.11813650152046329,0.039936791989021
DNN,1,1.2247561249969294,0.09546670800773427,38.18668320309371,0.3232,0.5005407379820088,0.09933407325194228,0.7217741935483871,0.1746341463414634,0.5125103850340915,0.10700267902037833,0.03985008300514892
DNN,2,1.2175674580066698,0.09746012500545476,38.98405000218191,0.7356,0.5338910216008709,0.12658227848101267,0.28225806451612906,0.17478152309612985,0.5523208760671517,0.13813978037696484,0.04020562500227243
